Image Index,TOF,Lambda,MeanI
1,0.01600096,2.974132459,0.06736755371
2,0.01601632,2.976987455,0.06864547729
3,0.01603168,2.97984245,0.07381439209
4,0.01604704,2.982697446,0.06924819946
5,0.0160624,2.985552442,0.0705871582
6,0.01607776,2.988407438,0.06954574585
7,0.01609312,2.991262434,0.06958770752
8,0.01610848,2.99411743,0.06968688965
9,0.01612384,2.996972426,0.06943130493
10,0.0161392,2.999827422,0.06755065918
11,0.01615456,3.002682417,0.07118988037
12,0.01616992,3.005537413,0.07186508179
13,0.01618528,3.008392409,0.07002258301
14,0.01620064,3.011247405,0.06900405884
15,0.016216,3.014102401,0.06811904907
16,0.01623136,3.016957397,0.06864929199
17,0.01624672,3.019812393,0.06786346436
18,0.01626208,3.022667388,0.06923675537
19,0.01627744,3.025522384,0.06920623779
20,0.0162928,3.02837738,0.06814956665
21,0.01630816,3.031232376,0.06670761108
22,0.01632352,3.034087372,0.06736373901
23,0.01633888,3.036942368,0.0659828186
24,0.01635424,3.039797364,0.06796646118
25,0.0163696,3.042652359,0.06815338135
26,0.01638496,3.045507355,0.07162857056
27,0.01640032,3.048362351,0.0641784668
28,0.01641568,3.051217347,0.06867980957
29,0.01643104,3.054072343,0.06777191162
30,0.0164464,3.056927339,0.06834030151
31,0.01646176,3.059782335,0.06988525391
32,0.01647712,3.06263733,0.06826400757
33,0.01649248,3.065492326,0.06815338135
34,0.01650784,3.068347322,0.06695556641
35,0.0165232,3.071202318,0.06669235229
36,0.01653856,3.074057314,0.06602096558
37,0.01655392,3.07691231,0.06764221191
38,0.01656928,3.079767306,0.06568145752
39,0.01658464,3.082622301,0.06512832642
40,0.0166,3.085477297,0.06458282471
41,0.01661536,3.088332293,0.06434249878
42,0.01663072,3.091187289,0.06422805786
43,0.01664608,3.094042285,0.06774902344
44,0.01666144,3.096897281,0.06817245483
45,0.0166768,3.099752277,0.06768417358
46,0.01669216,3.102607272,0.0634803772
47,0.01670752,3.105462268,0.06481170654
48,0.01672288,3.108317264,0.06404876709
49,0.01673824,3.11117226,0.06666564941
50,0.0167536,3.114027256,0.06547927856
51,0.01676896,3.116882252,0.06414794922
52,0.01678432,3.119737248,0.06304931641
53,0.01679968,3.122592244,0.06464767456
54,0.01681504,3.125447239,0.06621932983
55,0.0168304,3.128302235,0.0648651123
56,0.01684576,3.131157231,0.06604385376
57,0.01686112,3.134012227,0.0652923584
58,0.01687648,3.136867223,0.06615447998
59,0.01689184,3.139722219,0.06726074219
60,0.0169072,3.142577215,0.06340026855
61,0.01692256,3.14543221,0.06440734863
62,0.01693792,3.148287206,0.0647354126
63,0.01695328,3.151142202,0.06418609619
64,0.01696864,3.153997198,0.0652961731
65,0.016984,3.156852194,0.06265258789
66,0.01699936,3.15970719,0.06588363647
67,0.01701472,3.162562186,0.06443786621
68,0.01703008,3.165417181,0.06342315674
69,0.01704544,3.168272177,0.06146621704
70,0.0170608,3.171127173,0.06521987915
71,0.01707616,3.173982169,0.06432342529
72,0.01709152,3.176837165,0.06515884399
73,0.01710688,3.179692161,0.06509017944
74,0.01712224,3.182547157,0.06314086914
75,0.0171376,3.185402152,0.06280517578
76,0.01715296,3.188257148,0.06327438354
77,0.01716832,3.191112144,0.06483078003
78,0.01718368,3.19396714,0.0632019043
79,0.01719904,3.196822136,0.06423568726
80,0.0172144,3.199677132,0.06155776978
81,0.01722976,3.202532128,0.06772613525
82,0.01724512,3.205387123,0.06259536743
83,0.01726048,3.208242119,0.06362533569
84,0.01727584,3.211097115,0.06503677368
85,0.0172912,3.213952111,0.06216812134
86,0.01730656,3.216807107,0.06178665161
87,0.01732192,3.219662103,0.06156921387
88,0.01733728,3.222517099,0.06179428101
89,0.01735264,3.225372095,0.06335067749
90,0.017368,3.22822709,0.06013870239
91,0.01738336,3.231082086,0.06401824951
92,0.01739872,3.233937082,0.06216812134
93,0.01741408,3.236792078,0.06139755249
94,0.01742944,3.239647074,0.06154632568
95,0.0174448,3.24250207,0.0598487854
96,0.01746016,3.245357066,0.06077194214
97,0.01747552,3.248212061,0.06280136108
98,0.01749088,3.251067057,0.06183624268
99,0.01750624,3.253922053,0.06089019775
100,0.0175216,3.256777049,0.05797195435
101,0.01753696,3.259632045,0.06136703491
102,0.01755232,3.262487041,0.06176757813
103,0.01756768,3.265342037,0.06327819824
104,0.01758304,3.268197032,0.06130218506
105,0.0175984,3.271052028,0.06148529053
106,0.01761376,3.273907024,0.06337356567
107,0.01762912,3.27676202,0.0609703064
108,0.01764448,3.279617016,0.06027603149
109,0.01765984,3.282472012,0.06296539307
110,0.0176752,3.285327008,0.06349563599
111,0.01769056,3.288182003,0.06299591064
112,0.01770592,3.291036999,0.05908203125
113,0.01772128,3.293891995,0.06159973145
114,0.01773664,3.296746991,0.05673980713
115,0.017752,3.299601987,0.05968093872
116,0.01776736,3.302456983,0.05981826782
117,0.01778272,3.305311979,0.05797576904
118,0.01779808,3.308166974,0.06225204468
119,0.01781344,3.31102197,0.06000900269
120,0.0178288,3.313876966,0.05832672119
121,0.01784416,3.316731962,0.06258392334
122,0.01785952,3.319586958,0.05892562866
123,0.01787488,3.322441954,0.05868911743
124,0.01789024,3.32529695,0.0608291626
125,0.0179056,3.328151945,0.05820846558
126,0.01792096,3.331006941,0.06177520752
127,0.01793632,3.333861937,0.05892562866
128,0.01795168,3.336716933,0.0590171814
129,0.01796704,3.339571929,0.05958175659
130,0.0179824,3.342426925,0.05711746216
131,0.01799776,3.345281921,0.05783081055
132,0.01801312,3.348136917,0.05536270142
133,0.01802848,3.350991912,0.0585899353
134,0.01804384,3.353846908,0.05932998657
135,0.0180592,3.356701904,0.05909347534
136,0.01807456,3.3595569,0.0583190918
137,0.01808992,3.362411896,0.05866241455
138,0.01810528,3.365266892,0.05823135376
139,0.01812064,3.368121888,0.05976486206
140,0.018136,3.370976883,0.05948257446
141,0.01815136,3.373831879,0.05895614624
142,0.01816672,3.376686875,0.05638504028
143,0.01818208,3.379541871,0.05964279175
144,0.01819744,3.382396867,0.05576324463
145,0.0182128,3.385251863,0.05682754517
146,0.01822816,3.388106859,0.05849838257
147,0.01824352,3.390961854,0.05972671509
148,0.01825888,3.39381685,0.05974578857
149,0.01827424,3.396671846,0.05770874023
150,0.0182896,3.399526842,0.05609130859
151,0.01830496,3.402381838,0.05624008179
152,0.01832032,3.405236834,0.05832290649
153,0.01833568,3.40809183,0.05781555176
154,0.01835104,3.410946825,0.05449295044
155,0.0183664,3.413801821,0.05688095093
156,0.01838176,3.416656817,0.05844497681
157,0.01839712,3.419511813,0.05731582642
158,0.01841248,3.422366809,0.05652999878
159,0.01842784,3.425221805,0.05813980103
160,0.0184432,3.428076801,0.05886077881
161,0.01845856,3.430931796,0.05825424194
162,0.01847392,3.433786792,0.05493545532
163,0.01848928,3.436641788,0.05860137939
164,0.01850464,3.439496784,0.05850982666
165,0.01852,3.44235178,0.05626296997
166,0.01853536,3.445206776,0.05760955811
167,0.01855072,3.448061772,0.05917739868
168,0.01856608,3.450916767,0.05624008179
169,0.01858144,3.453771763,0.05536270142
170,0.0185968,3.456626759,0.05689239502
171,0.01861216,3.459481755,0.05633926392
172,0.01862752,3.462336751,0.05686950684
173,0.01864288,3.465191747,0.05652999878
174,0.01865824,3.468046743,0.06047058105
175,0.0186736,3.470901739,0.05625152588
176,0.01868896,3.473756734,0.05963134766
177,0.01870432,3.47661173,0.06210327148
178,0.01871968,3.479466726,0.05822372437
179,0.01873504,3.482321722,0.05916595459
180,0.0187504,3.485176718,0.06034088135
181,0.01876576,3.488031714,0.05811309814
182,0.01878112,3.49088671,0.0623588562
183,0.01879648,3.493741705,0.06251525879
184,0.01881184,3.496596701,0.06169128418
185,0.0188272,3.499451697,0.05997848511
186,0.01884256,3.502306693,0.06211090088
187,0.01885792,3.505161689,0.06220245361
188,0.01887328,3.508016685,0.06241989136
